127.0.0.1 - - [02/Jun/2023:18:23:06 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:23:16 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:24:33 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:24:46 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:25:41 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:26:24 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:26:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:29:37 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:29:39 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:29:40 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:29:41 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:29:41 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:29:41 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:29:41 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:29:41 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:29:55 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:30:29 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [02/Jun/2023:18:31:07 +0530] "GET /OnlineExpenseTracker/index.jsp HTTP/1.1" 200 1461
